"1","LIMOGES","87100"
"2","ORADOUR SUR VAYRES","87150"
"3","ST AMAND MAGNAZEIX","87290"
"4","ST GENCE","87510"
"5","SUSSAC","87130"
"6","AINVELLE","88320"
"7","AUTIGNY LA TOUR","88300"
"8","DERBAMONT","88270"
"9","DOMMARTIN AUX BOIS","88390"
"10","FERDRUPT","88360"
"11","GIRCOURT LES VIEVILLE","88500"
"12","MORVILLE","88140"
"13","PONT SUR MADON","88500"
"14","RUPPES","88630"
"15","LE SAULCY","88210"
"16","SAUVILLE","88140"
"17","SENAIDE","88320"
"18","THUILLIERES","88260"
"19","UBEXY","88130"
"20","URIMENIL","88220"
"21","URVILLE","88140"
"22","VAXONCOURT","88330"
"23","VIMENIL","88600"
"24","ARCY SUR CURE","89270"
"25","ARTHONNAY","89740"
"26","CARISEY","89360"
"27","CHAMBEUGLE","89120"
"28","CHEVANNES","89240"
"29","COURGENAY","89190"
"30","LA FERTE LOUPIERE","89110"
"31","LEVIS","89520"
"32","MAGNY","89200"
"33","MOLINONS","89190"
"34","MONTREAL","89420"
"35","ST MARTIN SUR OCRE","89110"
"36","DANJOUTIN","90400"
"37","LACHAPELLE SOUS CHAUX","90300"
"38","SERMAMAGNY","90300"
"39","ARPAJON","91290"
"40","BOIS HERPIN","91150"
"41","BOUVILLE","91880"
"42","ETIOLLES","91450"
"43","GRIGNY","91350"
"44","ST AUBIN","91190"
"45","VAYRES SUR ESSONNE","91820"
"46","BOURG LA REINE","92340"
"47","ISSY LES MOULINEAUX","92130"
"48","GAGNY","93220"
"49","BRY SUR MARNE","94360"
"50","CHAMPIGNY SUR MARNE","94500"
"51","AVERNES","95450"
"52","CHAUSSY","95710"
"53","DEUIL LA BARRE","95170"
"54","ENGHIEN LES BAINS","95880"
"55","MONTGEROULT","95650"
"56","MONTSOULT","95560"
"57","NESLES LA VALLEE","95690"
"58","ROISSY EN FRANCE","95700"
"59","ST LEU LA FORET","95320"
"60","US","95450"
"61","CAPESTERRE BELLE EAU","97130"
"62","LE MORNE ROUGE","97260"
"63","RIVIERE PILOTE","97211"
"64","ST PIERRE","97250"
"65","ST BENOIT","97437"
"66","BORA BORA","98730"
"67","FAKARAVA","98763"
"68","GAMBIER","98755"
"69","HAO","98790"
"70","HIVA OA","98741"
"71","BETHONVILLIERS","90150"
"72","BUC","90800"
"73","CHEVREMONT","90340"
"74","CHAMP LE DUC","88600"
"75","CLEZENTAINE","88700"
"76","CORCIEUX","88430"
"77","HAILLAINVILLE","88330"
"78","IGNEY","88150"
"79","JUBAINVILLE","88630"
"80","MOOREA MAIAO","98728"
"81","MOOREA MAIAO","98728"
"82","MOOREA MAIAO","98729"
"83","RIMATARA","98752"
"84","UA POU","98745"
"85","MOINDOU","98819"
"86","SAASENHEIM","67390"
"87","STEINSELTZ","67160"
"88","STUNDWILLER","67250"
"89","UTTENHEIM","67150"
"90","ASPACH","68130"
"91","BEBLENHEIM","68980"
"92","BERNWILLER","68210"
"93","DIETWILLER","68440"
"94","DURRENENTZEN","68320"
"95","LEIMBACH","68800"
"96","LINTHAL","68610"
"97","MERTZEN","68210"
"98","MICHELBACH LE BAS","68730"
"99","MOLLAU","68470"
"100","MUESPACH","68640"
"101","SAULCET","3500"
"102","VIPLAIX","3370"
"103","BEYNES","4270"
"104","ST JULIEN D ASSE","4270"
"105","SENEZ","4330"
"106","ANCELLE","5260"
"107","CHAUFFAYER","5800"
"108","BRIANCONNET","6850"
"109","LABASTIDE DE VIRAC","7150"
"110","NONIERES","7160"
"111","ROCHECOLOMBE","7200"
"112","ST ANDEOL DE FOURCHADES","7160"
"113","ST GENEST LACHAMP","7160"
"114","ST JULIEN DU GUA","7190"
"115","ST MONTAN","7220"
"116","ST PERAY","7130"
"117","ST PRIEST","7000"
"118","VALS LES BAINS","7600"
"119","VOCANCE","7690"
"120","ANCHAMPS","8500"
"121","CHAMPIGNEUL SUR VENCE","8430"
"122","MENIL LEPINOIS","8310"
"123","MONT ST REMY","8310"
"124","MOUZON","8210"
"125","OLIZY PRIMAT","8250"
"126","POIX TERRON","8430"
"127","VONCQ","8400"
"128","ALOS","9200"
"129","BEDEILLE","9230"
"130","CAZALS DES BAYLES","9500"
"131","L ABERGEMENT DE VAREY","1640"
"132","ARBIGNY","1190"
"133","ARMIX","1510"
"134","BELMONT LUTHEZIEU","1260"
"135","CHATENAY","1320"
"136","CHAVANNES SUR SURAN","1250"
"137","GARNERANS","1140"
"138","IZIEU","1300"
"139","MATAFELON GRANGES","1580"
"140","MONTRACOL","1310"
"141","PIZAY","1120"
"142","ST GERMAIN LES PAROISSES","1300"
"143","STE OLIVE","1330"
"144","VARAMBON","1160"
"145","VONGNES","1350"
"146","AUGY","2220"
"147","BEAURIEUX","2160"
"148","BERNY RIVIERE","2290"
"149","ROMERY","2120"
"150","GRAND ROZOY","2210"
"151","ROZOY SUR SERRE","2360"
"152","ST MARTIN RIVIERE","2110"
"153","URVILLERS","2690"
"154","LA VILLE AUX BOIS LES DIZY","2340"
"155","VILLERS SUR FERE","2130"
"156","ANDELAROCHE","3120"
"157","CHATEL MONTAGNE","3250"
"158","GIVARLAIS","3190"
"159","LAPRUGNE","3250"
"160","MEILLARD","3500"
"161","NAVES","3330"
"162","ST GENEST","3310"
"163","ST SORNIN","3240"
"164","LUCERAM","6440"
"165","PIERREFEU","6910"
"166","ST AUBAN","6850"
"167","TOUET SUR VAR","6710"
"168","LA TOUR","6420"
"169","ASPERJOC","7600"
"170","AUBENAS","7200"
"171","FELINES","7340"
"172","BESNY ET LOIZY","2870"
"173","BILLY SUR AISNE","2200"
"174","LE CATELET","2420"
"175","CERNY LES BUCY","2870"
"176","CHAILLEVOIS","2000"
"177","LA CHAPELLE SUR CHEZY","2570"
"178","COMMENCHON","2300"
"179","DAMMARD","2470"
"180","DOMMIERS","2600"
"181","FERE EN TARDENOIS","2130"
"182","FORESTE","2590"
"183","GLAND","2400"
"184","IVIERS","2360"
"185","LA MALMAISON","2190"
"186","MEZY MOULINS","2650"
"187","MONAMPTEUIL","2000"
"188","OSLY COURTIL","2290"
"189","COS","9000"
"190","COUTENS","9500"
"191","ESPLAS DE SEROU","9420"
"192","ILLARTEIN","9800"
"193","LABATUT","9700"
"194","MADIERE","9100"
"195","PRAT BONREPAUX","9160"
"196","RIVERENERT","9200"
"197","SEGURA","9120"
"198","VILLENEUVE DU PAREAGE","9100"
"199","ARRENTIERES","10200"
"200","BEUREY","10140"
"201","BAURECH","33880"
"202","BRACH","33480"
"203","CANTOIS","33760"
